,source,target,weight
319,10,9,0.0
320,10,10,0.0
321,10,11,38.0
322,10,12,3.0
323,10,13,46.0
324,10,14,7.0
325,10,15,0.0
326,10,16,19.0
327,10,17,0.0
328,10,18,19.0
329,10,19,0.0
330,10,20,4.0
331,10,21,0.0
332,10,22,0.0
333,10,23,0.0
334,10,24,0.0
335,10,25,0.0
336,10,26,0.0
337,10,27,0.0
338,10,28,0.0
339,10,29,16.0
340,10,30,0.0
341,11,0,33.0
342,11,1,0.0
343,11,2,0.0
344,11,3,164.0
345,11,4,414.0
346,11,5,268.0
347,11,6,359.0
348,11,7,95.0
349,11,8,0.0
350,11,9,0.0
351,11,10,38.0
352,11,11,0.0
353,11,12,3.0
354,11,13,49.0
355,11,14,99.0
356,11,15,2.0
357,11,16,948.0
358,11,17,7.0
359,11,18,84.0
360,11,19,0.0
361,11,20,21.0
362,11,21,2.0
363,11,22,3.0
364,11,23,2.0
365,11,24,0.0
366,11,25,0.0
367,11,26,0.0
368,11,27,4.0
369,11,28,0.0
370,11,29,76.0
371,11,30,1.0
372,12,0,78.0
373,12,1,0.0
374,12,2,0.0
375,12,3,25.0
376,12,4,22.0
377,12,5,44.0
378,12,6,0.0
379,12,7,5.0
380,12,8,0.0
381,12,9,0.0
382,12,10,3.0
383,12,11,3.0
384,12,12,0.0
385,12,13,6.0
386,12,14,88.0
387,12,15,0.0
388,12,16,1.0
389,12,17,0.0
390,12,18,97.0
391,12,19,0.0
392,12,20,20.0
393,12,21,0.0
394,12,22,6.0
395,12,23,0.0
396,12,24,0.0
397,12,25,0.0
398,12,26,0.0
399,12,27,0.0
400,12,28,0.0
401,12,29,0.0
402,12,30,0.0
403,13,0,40.0
404,13,1,0.0
405,13,2,0.0
406,13,3,501.0
407,13,4,195.0
408,13,5,235.0
409,13,6,93.0
410,13,7,72.0
411,13,8,0.0
412,13,9,0.0
413,13,10,46.0
414,13,11,49.0
415,13,12,6.0
416,13,13,0.0
417,13,14,129.0
418,13,15,12.0
419,13,16,166.0
420,13,17,1.0
421,13,18,125.0
422,13,19,0.0
423,13,20,12.0
424,13,21,0.0
425,13,22,0.0
426,13,23,0.0
427,13,24,0.0
428,13,25,0.0
429,13,26,0.0
430,13,27,1.0
431,13,28,0.0
432,13,29,63.0
433,13,30,0.0
434,14,0,394.0
435,14,1,0.0
436,14,2,1.0
437,14,3,308.0
438,14,4,102.0
439,14,5,443.0
440,14,6,78.0
441,14,7,100.0
442,14,8,0.0
443,14,9,0.0
444,14,10,7.0
445,14,11,99.0
446,14,12,88.0
447,14,13,129.0
448,14,14,0.0
449,14,15,3.0
450,14,16,73.0
451,14,17,0.0
452,14,18,311.0
453,14,19,1.0
454,14,20,96.0
455,14,21,1.0
456,14,22,21.0
457,14,23,0.0
458,14,24,0.0
459,14,25,0.0
460,14,26,0.0
461,14,27,2.0
462,14,28,0.0
463,14,29,15.0
464,14,30,2.0
465,15,0,0.0
466,15,1,0.0
467,15,2,0.0
468,15,3,30.0
469,15,4,6.0
470,15,5,8.0
471,15,6,1.0
472,15,7,1.0
473,15,8,0.0
474,15,9,0.0
475,15,10,0.0
476,15,11,2.0
477,15,12,0.0
478,15,13,12.0
479,15,14,3.0
480,15,15,0.0
481,15,16,4.0
482,15,17,0.0
483,15,18,8.0
484,15,19,0.0
485,15,20,0.0
486,15,21,0.0
487,15,22,0.0
488,15,23,0.0
489,15,24,0.0
490,15,25,0.0
491,15,26,0.0
492,15,27,0.0
493,15,28,0.0
494,15,29,0.0
495,15,30,0.0
496,16,0,27.0
497,16,1,0.0
498,16,2,0.0
499,16,3,105.0
500,16,4,474.0
501,16,5,131.0
502,16,6,335.0
503,16,7,25.0
504,16,8,0.0
505,16,9,0.0
506,16,10,19.0
507,16,11,948.0
508,16,12,1.0
509,16,13,166.0
510,16,14,73.0
511,16,15,4.0
512,16,16,0.0
513,16,17,4.0
514,16,18,37.0
515,16,19,0.0
516,16,20,5.0
517,16,21,1.0
518,16,22,3.0
519,16,23,0.0
520,16,24,0.0
521,16,25,0.0
522,16,26,0.0
523,16,27,0.0
524,16,28,0.0
525,16,29,58.0
526,16,30,0.0
527,17,0,0.0
528,17,1,0.0
529,17,2,0.0
530,17,3,0.0
531,17,4,0.0
532,17,5,1.0
533,17,6,2.0
534,17,7,0.0
535,17,8,0.0
536,17,9,0.0
537,17,10,0.0
538,17,11,7.0
539,17,12,0.0
540,17,13,1.0
541,17,14,0.0
542,17,15,0.0
543,17,16,4.0
544,17,17,0.0
545,17,18,0.0
546,17,19,0.0
547,17,20,0.0
548,17,21,0.0
549,17,22,0.0
550,17,23,0.0
551,17,24,0.0
552,17,25,0.0
553,17,26,0.0
554,17,27,0.0
555,17,28,0.0
556,17,29,0.0
557,17,30,0.0
558,18,0,445.0
559,18,1,0.0
560,18,2,0.0
561,18,3,194.0
562,18,4,71.0
563,18,5,177.0
564,18,6,21.0
565,18,7,31.0
566,18,8,0.0
567,18,9,0.0
568,18,10,19.0
569,18,11,84.0
570,18,12,97.0
571,18,13,125.0
572,18,14,311.0
573,18,15,8.0
574,18,16,37.0
575,18,17,0.0
576,18,18,0.0
577,18,19,1.0
578,18,20,67.0
579,18,21,0.0
580,18,22,12.0
581,18,23,0.0
582,18,24,0.0
583,18,25,1.0
584,18,26,0.0
585,18,27,1.0
586,18,28,0.0
587,18,29,20.0
588,18,30,0.0
589,19,0,0.0
590,19,1,0.0
591,19,2,0.0
592,19,3,4.0
593,19,4,1.0
594,19,5,3.0
595,19,6,0.0
596,19,7,0.0
597,19,8,0.0
598,19,9,0.0
599,19,10,0.0
600,19,11,0.0
601,19,12,0.0
602,19,13,0.0
603,19,14,1.0
604,19,15,0.0
605,19,16,0.0
606,19,17,0.0
607,19,18,1.0
608,19,19,0.0
609,19,20,0.0
610,19,21,0.0
611,19,22,0.0
612,19,23,0.0
613,19,24,0.0
614,19,25,0.0
615,19,26,0.0
616,19,27,0.0
617,19,28,0.0
618,19,29,0.0
619,19,30,0.0
620,20,0,73.0
621,20,1,0.0
622,20,2,0.0
623,20,3,37.0
624,20,4,26.0
625,20,5,66.0
626,20,6,4.0
627,20,7,5.0
628,20,8,0.0
629,20,9,0.0
630,20,10,4.0
631,20,11,21.0
632,20,12,20.0
633,20,13,12.0
634,20,14,96.0
635,20,15,0.0
636,20,16,5.0
637,20,17,0.0
638,20,18,67.0
639,20,19,0.0
640,20,20,0.0
641,20,21,0.0
642,20,22,5.0
643,20,23,0.0
644,20,24,0.0
645,20,25,0.0
646,20,26,0.0
647,20,27,0.0
648,20,28,0.0
649,20,29,5.0
650,20,30,0.0
651,21,0,0.0
652,21,1,0.0
653,21,2,0.0
654,21,3,1.0
655,21,4,2.0
656,21,5,2.0
657,21,6,1.0
658,21,7,0.0
659,21,8,0.0
660,21,9,0.0
661,21,10,0.0
662,21,11,2.0
663,21,12,0.0
664,21,13,0.0
665,21,14,1.0
666,21,15,0.0
667,21,16,1.0
668,21,17,0.0
669,21,18,0.0
670,21,19,0.0
671,21,20,0.0
672,21,21,0.0
673,21,22,0.0
674,21,23,0.0
675,21,24,0.0
676,21,25,0.0
677,21,26,0.0
678,21,27,0.0
679,21,28,0.0
680,21,29,2.0
681,21,30,0.0
682,22,0,24.0
683,22,1,0.0
684,22,2,0.0
685,22,3,8.0
686,22,4,2.0
687,22,5,10.0
688,22,6,1.0
689,22,7,0.0
690,22,8,0.0
691,22,9,0.0
692,22,10,0.0
693,22,11,3.0
694,22,12,6.0
695,22,13,0.0
696,22,14,21.0
697,22,15,0.0
698,22,16,3.0
699,22,17,0.0
700,22,18,12.0
701,22,19,0.0
702,22,20,5.0
703,22,21,0.0
704,22,22,0.0
705,22,23,0.0
706,22,24,0.0
707,22,25,0.0
708,22,26,0.0
709,22,27,0.0
710,22,28,0.0
711,22,29,0.0
712,22,30,0.0
713,23,0,0.0
714,23,1,0.0
715,23,2,0.0
716,23,3,0.0
717,23,4,0.0
718,23,5,1.0
719,23,6,0.0
720,23,7,0.0
721,23,8,0.0
722,23,9,0.0
723,23,10,0.0
724,23,11,2.0
725,23,12,0.0
726,23,13,0.0
727,23,14,0.0
728,23,15,0.0
729,23,16,0.0
730,23,17,0.0
731,23,18,0.0
732,23,19,0.0
733,23,20,0.0
734,23,21,0.0
735,23,22,0.0
736,23,23,0.0
737,23,24,0.0
738,23,25,0.0
739,23,26,0.0
740,23,27,0.0
741,23,28,0.0
742,23,29,0.0
743,23,30,0.0
744,24,0,0.0
745,24,1,0.0
746,24,2,0.0
747,24,3,0.0
748,24,4,0.0
749,24,5,1.0
750,24,6,0.0
751,24,7,0.0
752,24,8,0.0
753,24,9,0.0
754,24,10,0.0
755,24,11,0.0
756,24,12,0.0
757,24,13,0.0
758,24,14,0.0
759,24,15,0.0
760,24,16,0.0
761,24,17,0.0
762,24,18,0.0
763,24,19,0.0
764,24,20,0.0
765,24,21,0.0
766,24,22,0.0
767,24,23,0.0
768,24,24,0.0
769,24,25,0.0
770,24,26,0.0
771,24,27,0.0
772,24,28,0.0
773,24,29,0.0
774,24,30,0.0
775,25,0,0.0
776,25,1,0.0
777,25,2,0.0
778,25,3,0.0
779,25,4,0.0
780,25,5,1.0
781,25,6,0.0
782,25,7,0.0
783,25,8,0.0
784,25,9,0.0
785,25,10,0.0
786,25,11,0.0
787,25,12,0.0
788,25,13,0.0
789,25,14,0.0
790,25,15,0.0
791,25,16,0.0
792,25,17,0.0
793,25,18,1.0
794,25,19,0.0
795,25,20,0.0
796,25,21,0.0
797,25,22,0.0
798,25,23,0.0
799,25,24,0.0
800,25,25,0.0
801,25,26,0.0
802,25,27,0.0
803,25,28,0.0
804,25,29,0.0
805,25,30,0.0
806,26,0,0.0
807,26,1,0.0
808,26,2,0.0
809,26,3,1.0
810,26,4,0.0
811,26,5,0.0
812,26,6,0.0
813,26,7,0.0
814,26,8,0.0
815,26,9,0.0
816,26,10,0.0
817,26,11,0.0
818,26,12,0.0
819,26,13,0.0
820,26,14,0.0
821,26,15,0.0
822,26,16,0.0
823,26,17,0.0
824,26,18,0.0
825,26,19,0.0
826,26,20,0.0
827,26,21,0.0
828,26,22,0.0
829,26,23,0.0
830,26,24,0.0
831,26,25,0.0
832,26,26,0.0
833,26,27,0.0
834,26,28,0.0
835,26,29,0.0
836,26,30,0.0
837,27,0,0.0
838,27,1,0.0
839,27,2,0.0
