,community,h_degree
4,4,136.0
11,11,117.0
5,5,113.0
3,3,107.0
0,0,99.0
7,7,89.0
14,14,88.0
6,6,83.0
16,16,78.0
18,18,74.0
13,13,73.0
29,29,55.0
12,12,38.0
20,20,33.0
10,10,30.0
22,22,28.0
15,15,23.0
17,17,12.0
27,27,11.0
30,30,10.0
21,21,9.0
19,19,8.0
28,28,8.0
23,23,7.0
25,25,6.0
1,1,5.0
9,9,5.0
8,8,5.0
2,2,4.0
24,24,3.0
26,26,3.0
