,community,connections
0,0,15
1,1,2
2,2,1
3,3,20
4,4,21
5,5,26
6,6,20
7,7,17
8,8,3
9,9,3
10,10,14
11,11,21
12,12,13
13,13,17
14,14,21
15,15,10
16,16,18
17,17,5
18,18,19
19,19,5
20,20,15
21,21,8
22,22,11
23,23,2
24,24,1
25,25,2
26,26,1
27,27,6
28,28,1
29,29,16
30,30,6
