,community,density
0,0,0.008438768002185787
1,1,0.4
2,2,0.3111111111111111
3,3,0.005806318954025922
4,4,0.0049965427824743116
5,5,0.0040782184458997076
6,6,0.007444577217095042
7,7,0.006904475325527957
8,8,0.2
9,9,0.24242424242424243
10,10,0.03514293207448203
11,11,0.002392021324658896
12,12,0.017905536198219125
13,13,0.006122869377325661
14,14,0.0054232722714161385
15,15,0.08525506638714186
16,16,0.004711703452976988
17,17,0.23529411764705882
18,18,0.005159304490668198
19,19,0.26666666666666666
20,20,0.01294687014271584
21,21,0.2727272727272727
22,22,0.034292035398230086
23,23,0.2857142857142857
24,24,0.2857142857142857
25,25,0.3888888888888889
26,26,0.5
27,27,0.19607843137254902
28,28,0.6944444444444444
29,29,0.007222502135862779
30,30,0.029487179487179487
