,community,count
0,0,914
1,1,6
2,2,10
3,3,1680
4,4,1719
5,5,1634
6,6,1167
7,7,741
8,8,15
9,9,12
10,10,124
11,11,2976
12,12,288
13,13,1511
14,14,1154
15,15,54
16,16,1305
17,17,18
18,18,1417
19,19,10
20,20,337
21,21,12
22,22,113
23,23,7
24,24,7
25,25,9
26,26,5
27,27,18
28,28,9
29,29,956
30,30,105
