,community,connections
0,0,19
1,1,14
2,2,20
3,3,11
4,4,17
5,5,14
6,6,18
7,7,23
8,8,6
9,9,16
10,10,24
11,11,2
12,12,8
13,13,7
14,14,1
15,15,2
16,16,3
17,17,6
18,18,14
19,19,11
20,20,5
21,21,16
22,22,9
23,23,8
24,24,2
25,25,3
26,26,2
27,27,2
28,28,1
