,node,eign,closeness,betwness,centrality,community,density
6207,2606,2.5624163853516087e-06,0,0,2,0,0.014265611807748836
6267,2697,2.235375842352199e-06,0,0,2,0,0.014265611807748836
6268,6327,2.235375842352199e-06,0,0,2,0,0.014265611807748836
6385,2855,2.6362222737620146e-06,0,0,2,0,0.014265611807748836
6407,7109,9.1757884793178e-06,0,0,2,0,0.014265611807748836
6417,3140,2.250202667794759e-05,0,0,2,0,0.014265611807748836
6419,2936,4.808612222819941e-05,0,0,2,0,0.014265611807748836
6508,3688,0.001390909853493424,0,0,2,0,0.014265611807748836
6594,5726,3.375623332577822e-05,0,0,2,0,0.014265611807748836
6607,3207,1.2104393861582641e-06,0,0,2,0,0.014265611807748836
6688,7020,1.5220947699397231e-05,0,0,2,0,0.014265611807748836
6725,6082,6.315494567868419e-05,0,0,2,0,0.014265611807748836
6869,6645,6.296956628873015e-06,0,0,2,0,0.014265611807748836
6891,3697,2.0219032885830043e-05,0,0,2,0,0.014265611807748836
6958,4629,0.0001195069651970455,0,0,2,0,0.014265611807748836
6959,7194,1.4859042509446739e-05,0,0,2,0,0.014265611807748836
7068,4143,2.3610455019307957e-06,0,0,2,0,0.014265611807748836
7125,4970,6.902096718455948e-05,0,0,2,0,0.014265611807748836
7237,4660,0.00012669918875154974,0,0,2,0,0.014265611807748836
7279,4787,2.1788448192300163e-06,0,0,2,0,0.014265611807748836
7310,4881,6.231401257641911e-05,0,0,2,0,0.014265611807748836
7317,4827,1.5550712561972655e-05,0,0,2,0,0.014265611807748836
7318,5992,4.04001267711854e-07,0,0,2,0,0.014265611807748836
7389,5087,1.8325901438146021e-06,0,0,2,0,0.014265611807748836
7497,5719,1.5859997069768354e-07,0,0,2,0,0.014265611807748836
7556,6227,7.948937482117617e-07,0,0,2,0,0.014265611807748836
266,4845,4.241512702121654e-06,0,0,3,0,0.014265611807748836
1673,6027,2.4343490057532813e-05,0,0,3,0,0.014265611807748836
1676,347,1.1177619278759136e-05,0,0,3,0,0.014265611807748836
2245,413,8.910224783292173e-06,0,0,3,0,0.014265611807748836
2302,6661,4.950056267301162e-05,0,0,3,0,0.014265611807748836
2831,560,9.814578534630362e-07,0,0,3,0,0.014265611807748836
2847,6449,6.0595718558825444e-06,0,0,3,0,0.014265611807748836
2860,570,2.0363338038620958e-05,0,0,3,0,0.014265611807748836
3075,649,9.037163881436571e-05,0,0,3,0,0.014265611807748836
3160,4054,7.698560671341307e-06,0,0,3,0,0.014265611807748836
3353,3683,1.7029046292038832e-05,0,0,3,0,0.014265611807748836
3620,2062,1.3018444871762895e-07,0,0,3,0,0.014265611807748836
3625,4380,2.4282619274085966e-06,0,0,3,0,0.014265611807748836
3735,5243,2.592103290702764e-05,0,0,3,0,0.014265611807748836
4017,7369,2.2808105014643976e-05,0,0,3,0,0.014265611807748836
4050,1454,1.1220013783556076e-05,0,0,3,0,0.014265611807748836
4158,1243,3.3802414328914486e-06,0,0,3,0,0.014265611807748836
4379,4583,4.784885995878729e-06,0,0,3,0,0.014265611807748836
4505,3398,2.1865070324738347e-05,0,0,3,0,0.014265611807748836
4940,5235,5.5620680250399054e-06,0,0,3,0,0.014265611807748836
4942,7044,2.114893350251056e-05,0,0,3,0,0.014265611807748836
5089,3371,3.866957795651241e-05,0,0,3,0,0.014265611807748836
5179,4767,0.00014637643069829426,0,0,3,0,0.014265611807748836
5192,6266,1.450992577918887e-05,0,0,3,0,0.014265611807748836
5237,5520,1.2408563106849466e-05,0,0,3,0,0.014265611807748836
5487,1894,1.875431094192804e-05,0,0,3,0,0.014265611807748836
5517,4115,8.902099962934355e-05,0,0,3,0,0.014265611807748836
5966,5847,9.929242252768336e-06,0,0,3,0,0.014265611807748836
6249,4897,1.3510315489304807e-06,0,0,3,0,0.014265611807748836
6327,5566,2.0696353461161917e-05,0,0,3,0,0.014265611807748836
6430,2915,3.3154678228396284e-05,0,0,3,0,0.014265611807748836
6439,2932,2.4896944877907938e-05,0,0,3,0,0.014265611807748836
6691,3370,1.226633346471685e-06,0,0,3,0,0.014265611807748836
6730,5874,0.00029058110054511416,0,0,3,0,0.014265611807748836
6737,3449,2.1716294837739742e-06,0,0,3,0,0.014265611807748836
6858,3609,8.773776092210297e-05,0,0,3,0,0.014265611807748836
6910,3742,1.6814721934883004e-05,0,0,3,0,0.014265611807748836
6960,5439,3.4152698124941605e-05,0,0,3,0,0.014265611807748836
1169,776,9.977298174828342e-06,0,0,4,0,0.014265611807748836
1171,5074,3.5855918210910085e-05,0,0,4,0,0.014265611807748836
1640,5169,6.525993835932605e-05,0,0,4,0,0.014265611807748836
1870,5330,2.523177542354893e-05,0,0,4,0,0.014265611807748836
1871,760,1.6073022915105042e-05,0,0,4,0,0.014265611807748836
1872,3134,1.1978766699006218e-05,0,0,4,0,0.014265611807748836
1968,1935,1.8354644275033132e-05,0,0,4,0,0.014265611807748836
2300,1569,2.3669030281787352e-05,0,0,4,0,0.014265611807748836
2402,7182,3.123482301733729e-05,0,0,4,0,0.014265611807748836
2647,7159,8.894496672588858e-06,0,0,4,0,0.014265611807748836
2849,3542,3.273393789210124e-05,0,0,4,0,0.014265611807748836
2884,1190,3.537001032876569e-05,0,0,4,0,0.014265611807748836
2886,1884,4.018054820331745e-05,0,0,4,0,0.014265611807748836
2940,1585,5.059242788748123e-07,0,0,4,0,0.014265611807748836
2955,2549,2.971743990223579e-05,0,0,4,0,0.014265611807748836
3663,875,2.4692748541475887e-05,0,0,4,0,0.014265611807748836
3840,1892,2.7270044617526224e-05,0,0,4,0,0.014265611807748836
4011,3204,2.6931471073691746e-05,0,0,4,0,0.014265611807748836
4012,6858,1.0295844582009927e-05,0,0,4,0,0.014265611807748836
4080,1040,5.458751428976509e-05,0,0,4,0,0.014265611807748836
4322,1155,0.0025177127580579156,0,0,4,0,0.014265611807748836
4550,4988,4.618493520243945e-06,0,0,4,0,0.014265611807748836
4578,5820,3.236554187041708e-05,0,0,4,0,0.014265611807748836
4616,4208,1.7732750229035267e-05,0,0,4,0,0.014265611807748836
4784,1429,1.3599826647082149e-05,0,0,4,0,0.014265611807748836
4910,5391,5.438838193331522e-05,0,0,4,0,0.014265611807748836
5017,5607,2.366432726993157e-08,0,0,4,0,0.014265611807748836
5038,7469,5.280034682576395e-05,0,0,4,0,0.014265611807748836
5318,3847,2.4257193958956194e-05,0,0,4,0,0.014265611807748836
5323,1950,1.9275045494439817e-05,0,0,4,0,0.014265611807748836
5416,5662,2.858211271232218e-05,0,0,4,0,0.014265611807748836
5543,4241,1.6360799865814887e-06,0,0,4,0,0.014265611807748836
5698,2061,2.4251636497081985e-05,0,0,4,0,0.014265611807748836
5930,7067,0.0002647068151087533,0,0,4,0,0.014265611807748836
5964,4269,2.727335960366331e-05,0,0,4,0,0.014265611807748836
5968,4478,1.2275911510565569e-05,0,0,4,0,0.014265611807748836
6021,5681,6.340561198021792e-06,0,0,4,0,0.014265611807748836
6348,5010,1.977913110868018e-05,0,0,4,0,0.014265611807748836
6393,6808,0.0012108895685176808,0,0,4,0,0.014265611807748836
6418,5925,2.6070189505292524e-05,0,0,4,0,0.014265611807748836
6431,6688,9.363738288921856e-07,0,0,4,0,0.014265611807748836
6631,5102,8.574768580837767e-06,0,0,4,0,0.014265611807748836
6724,6312,3.252215291948844e-05,0,0,4,0,0.014265611807748836
6874,5014,0.001068404527679675,0,0,4,0,0.014265611807748836
269,6196,0.0001622000448697195,0,0,5,0,0.014265611807748836
451,59,1.2857627454240445e-05,0,0,5,0,0.014265611807748836
616,5224,2.096977354186579e-05,0,0,5,0,0.014265611807748836
1849,1209,1.1785961107179877e-05,0,0,5,0,0.014265611807748836
2638,7050,1.9815653493638064e-05,0,0,5,0,0.014265611807748836
2850,2345,0.00011241876988762886,0,0,5,0,0.014265611807748836
2913,3385,4.31386104359959e-06,0,0,5,0,0.014265611807748836
3270,720,0.00012384814073705582,0,0,5,0,0.014265611807748836
3333,3013,0.00020964998150289598,0,0,5,0,0.014265611807748836
3667,4087,8.937684929869023e-06,0,0,5,0,0.014265611807748836
3781,4020,3.123157473957322e-05,0,0,5,0,0.014265611807748836
3818,935,0.00038381328046676005,0,0,5,0,0.014265611807748836
4014,3606,2.970530616240918e-05,0,0,5,0,0.014265611807748836
4016,3312,3.637093242858025e-05,0,0,5,0,0.014265611807748836
4051,2007,1.9262082758967014e-05,0,0,5,0,0.014265611807748836
4053,2319,5.1795446586904665e-05,0,0,5,0,0.014265611807748836
4941,6070,7.953365283445107e-06,0,0,5,0,0.014265611807748836
5021,3856,3.4667863495038634e-05,0,0,5,0,0.014265611807748836
5060,5215,3.524582186039025e-05,0,0,5,0,0.014265611807748836
5079,4438,1.201689752348623e-05,0,0,5,0,0.014265611807748836
5320,6412,6.310441824996072e-05,0,0,5,0,0.014265611807748836
5653,4024,5.8337155167757496e-05,0,0,5,0,0.014265611807748836
5947,3758,8.402688996181882e-06,0,0,5,0,0.014265611807748836
6181,6687,4.9035619511380516e-05,0,0,5,0,0.014265611807748836
6392,2863,0.00014581426200097972,0,0,5,0,0.014265611807748836
6595,4898,5.070737563561473e-05,0,0,5,0,0.014265611807748836
6825,6274,0.00011962385967605603,0,0,5,0,0.014265611807748836
7070,5156,3.277899783462492e-05,0,0,5,0,0.014265611807748836
7127,6187,0.0011239238590549305,0,0,5,0,0.014265611807748836
617,3602,0.00014557818714555244,0,0,6,0,0.014265611807748836
873,116,1.4739524054308323e-05,0,0,6,0,0.014265611807748836
1031,2369,1.5881316330199942e-05,0,0,6,0,0.014265611807748836
1840,4755,4.196507766031666e-05,0,0,6,0,0.014265611807748836
1844,738,1.6406001879476103e-05,0,0,6,0,0.014265611807748836
2091,5012,9.113766294052571e-06,0,0,6,0,0.014265611807748836
2308,6964,4.88798523701248e-05,0,0,6,0,0.014265611807748836
2755,2120,3.0086132698161473e-05,0,0,6,0,0.014265611807748836
2852,1213,8.521825163514283e-06,0,0,6,0,0.014265611807748836
2906,7031,2.464428941212794e-06,0,0,6,0,0.014265611807748836
3174,688,0.00016938540502386658,0,0,6,0,0.014265611807748836
3783,6148,2.9103846566147118e-05,0,0,6,0,0.014265611807748836
3841,6282,1.556445931280405e-05,0,0,6,0,0.014265611807748836
3905,968,4.3674538202117756e-05,0,0,6,0,0.014265611807748836
4189,1093,2.0457033854841294e-05,0,0,6,0,0.014265611807748836
4554,5029,2.6946773373097275e-05,0,0,6,0,0.014265611807748836
4771,3424,5.717759352915972e-05,0,0,6,0,0.014265611807748836
5414,3266,4.269381101846103e-05,0,0,6,0,0.014265611807748836
5967,5420,3.188448784913589e-05,0,0,6,0,0.014265611807748836
7323,7016,1.626335025805349e-05,0,0,6,0,0.014265611807748836
362,2442,2.1371754391753227e-06,0,0,7,0,0.014265611807748836
474,6407,3.063813032270839e-05,0,0,7,0,0.014265611807748836
629,652,0.000144630194013752,0,0,7,0,0.014265611807748836
1166,174,3.830464391429708e-05,0,0,7,0,0.014265611807748836
1595,2938,3.9377764345717076e-05,0,0,7,0,0.014265611807748836
1671,280,1.4657545811574005e-05,0,0,7,0,0.014265611807748836
1838,6222,3.434181077426861e-05,0,0,7,0,0.014265611807748836
2400,1520,4.0661243693773564e-05,0,0,7,0,0.014265611807748836
2447,7402,5.140888448741888e-05,0,0,7,0,0.014265611807748836
2448,4653,3.760266164212403e-05,0,0,7,0,0.014265611807748836
2499,482,0.0003283083071755799,0,0,7,0,0.014265611807748836
2844,4165,0.00020528873662903598,0,0,7,0,0.014265611807748836
2848,1077,0.00012682443673938174,0,0,7,0,0.014265611807748836
2902,591,1.8090302300817416e-05,0,0,7,0,0.014265611807748836
2903,1635,4.436109810768501e-05,0,0,7,0,0.014265611807748836
3553,2559,2.1309366912396803e-05,0,0,7,0,0.014265611807748836
3664,1255,0.00014036515291501639,0,0,7,0,0.014265611807748836
3838,945,4.0774409095398304e-05,0,0,7,0,0.014265611807748836
3842,2831,0.0005563306560730155,0,0,7,0,0.014265611807748836
4055,5053,5.144664049014228e-05,0,0,7,0,0.014265611807748836
4190,6352,3.9944648285679536e-05,0,0,7,0,0.014265611807748836
5037,1598,0.0003597507894064394,0,0,7,0,0.014265611807748836
5238,6329,7.408959952735811e-05,0,0,7,0,0.014265611807748836
5302,1770,5.076928244366205e-05,0,0,7,0,0.014265611807748836
5303,5815,4.040995522209717e-05,0,0,7,0,0.014265611807748836
5321,2836,3.114406251155757e-05,0,0,7,0,0.014265611807748836
5322,3138,4.9686310821978146e-05,0,0,7,0,0.014265611807748836
5324,3129,2.6652487261117507e-05,0,0,7,0,0.014265611807748836
5962,3692,0.0040340766388958895,0,0,7,0,0.014265611807748836
1,747,6.154499979108227e-05,0,0,8,0,0.014265611807748836
376,397,7.366570736780954e-05,0,0,8,0,0.014265611807748836
453,6300,0.000137611208158903,0,0,8,0,0.014265611807748836
607,3296,0.00017468695352378688,0,0,8,0,0.014265611807748836
935,7615,9.089518002121198e-05,0,0,8,0,0.014265611807748836
1168,1954,7.470615776692706e-05,0,0,8,0,0.014265611807748836
1596,3231,1.4605057630910108e-05,0,0,8,0,0.014265611807748836
1675,5577,7.170409193475597e-05,0,0,8,0,0.014265611807748836
2305,6733,0.00013646189268461112,0,0,8,0,0.014265611807748836
2322,6363,1.809149594550554e-05,0,0,8,0,0.014265611807748836
2399,461,6.429489108892298e-05,0,0,8,0,0.014265611807748836
2443,2576,7.4518779288885e-05,0,0,8,0,0.014265611807748836
2853,6174,0.00011711015501255414,0,0,8,0,0.014265611807748836
2904,5939,1.2621696789197401e-05,0,0,8,0,0.014265611807748836
2914,2906,0.00011243403711072674,0,0,8,0,0.014265611807748836
4013,3404,5.009386045890491e-05,0,0,8,0,0.014265611807748836
4044,7374,6.392013756202751e-05,0,0,8,0,0.014265611807748836
4052,4887,4.8687550571449844e-05,0,0,8,0,0.014265611807748836
5087,6411,4.172809817296881e-05,0,0,8,0,0.014265611807748836
5239,6357,3.646061365252997e-05,0,0,8,0,0.014265611807748836
5240,6903,5.283590401247095e-05,0,0,8,0,0.014265611807748836
5317,4451,9.452015441512573e-05,0,0,8,0,0.014265611807748836
5319,3083,0.00013062939173569182,0,0,8,0,0.014265611807748836
5551,6020,0.0001524589582542876,0,0,8,0,0.014265611807748836
5958,6432,8.395130698517317e-05,0,0,8,0,0.014265611807748836
5993,3655,5.667373426137661e-05,0,0,8,0,0.014265611807748836
268,3155,0.00019827392965788445,0,0,9,0,0.014265611807748836
271,5206,4.760063697531294e-05,0,0,9,0,0.014265611807748836
1592,876,0.00018956502780732637,0,0,9,0,0.014265611807748836
1677,1326,3.6473427322924334e-05,0,0,9,0,0.014265611807748836
1835,3460,1.54554879886648e-05,0,0,9,0,0.014265611807748836
1837,682,2.4163160326545363e-05,0,0,9,0,0.014265611807748836
1868,312,6.685826586237782e-05,0,0,9,0,0.014265611807748836
2088,375,4.458008602260589e-05,0,0,9,0,0.014265611807748836
2640,1424,6.095718605370943e-05,0,0,9,0,0.014265611807748836
2644,4711,0.0004685807598962331,0,0,9,0,0.014265611807748836
2905,3998,1.3108666323597076e-05,0,0,9,0,0.014265611807748836
2911,6575,4.956315356287752e-05,0,0,9,0,0.014265611807748836
2956,6969,0.00014191765743347182,0,0,9,0,0.014265611807748836
3666,1842,1.401474410754378e-05,0,0,9,0,0.014265611807748836
3800,4865,2.7785042643584037e-05,0,0,9,0,0.014265611807748836
3839,1133,4.939184842517338e-05,0,0,9,0,0.014265611807748836
4324,6359,0.000633724713229085,0,0,9,0,0.014265611807748836
