,community,h_degree
7,7,216.0
4,4,175.0
2,2,174.0
9,9,172.0
10,10,119.0
6,6,119.0
1,1,113.0
0,0,81.0
5,5,62.0
21,21,56.0
18,18,47.0
3,3,43.0
17,17,36.0
19,19,36.0
13,13,29.0
23,23,24.0
20,20,24.0
12,12,17.0
16,16,17.0
22,22,14.0
14,14,12.0
8,8,12.0
11,11,7.0
25,25,5.0
27,27,5.0
24,24,4.0
26,26,4.0
28,28,4.0
15,15,3.0
