,community,count
0,0,566
1,1,665
2,2,939
3,3,155
4,4,856
5,5,605
6,6,462
7,7,983
8,8,25
9,9,280
10,10,1112
11,11,11
12,12,66
13,13,64
14,14,13
15,15,4
16,16,41
17,17,69
18,18,151
19,19,232
20,20,61
21,21,161
22,22,46
23,23,23
24,24,5
25,25,11
26,26,4
27,27,7
28,28,7
