,community,connections
0,0,4
1,1,10
2,2,11
3,3,8
4,4,9
5,5,8
6,6,7
7,7,5
8,8,6
9,9,2
10,10,3
11,11,1
12,12,1
13,13,2
14,14,2
15,15,3
16,16,2
