,community,count
0,0,341
1,1,399
2,2,556
3,3,425
4,4,423
5,5,385
6,6,60
7,7,38
8,8,548
9,9,73
10,10,237
11,11,25
12,12,59
13,13,206
14,14,19
15,15,226
16,16,19
