,community,h_degree
3,3,1045.0
2,2,792.0
4,4,755.0
8,8,547.0
0,0,347.0
10,10,294.0
5,5,254.0
1,1,231.0
13,13,170.0
15,15,137.0
9,9,70.0
12,12,59.0
6,6,43.0
7,7,38.0
11,11,25.0
14,14,24.0
16,16,20.0
