,community,density
0,0,0.11784511784511785
1,1,0.03075511162334059
2,2,0.030922819886594108
3,3,0.01730667817249149
4,4,0.01306387638196593
5,5,0.03213341468375026
6,6,0.12454212454212454
7,7,0.0825593395252838
8,8,0.02330963707306644
9,9,0.18681318681318682
10,10,0.023561570480789287
11,11,0.014828229764291146
12,12,0.051186790505675955
13,13,0.036334661354581674
14,14,0.024128661475713756
15,15,0.002035812123720504
16,16,0.011777854736643265
17,17,0.08209380895967706
18,18,0.019487179487179488
19,19,0.07455036809244246
20,20,0.02870426841342384
21,21,0.009536233187890783
22,22,0.005913270505788455
23,23,0.019011457768313342
24,24,0.0197258322948193
25,25,0.024325647798828894
26,26,0.027466824820223886
27,27,0.026959517657192077
28,28,0.1698658410732714
29,29,0.009584893882646692
30,30,0.27472527472527475
31,31,0.022137887413029727
32,32,0.09012685780362548
33,33,0.13768115942028986
34,34,0.0842911877394636
35,35,0.056314699792960665
36,36,0.0862533692722372
37,37,0.04534638111280447
38,38,0.05042016806722689
39,39,0.036118763391490664
40,40,0.04025806451612903
41,41,0.3243697478991597
42,42,0.06153846153846154
43,43,0.028470111448834854
44,44,0.006711814796022271
45,45,0.16399286987522282
46,46,0.5714285714285714
47,47,0.11571940604198669
48,48,0.1422924901185771
49,49,0.13663663663663664
50,50,0.3888888888888889
51,51,0.18312434691745036
52,52,0.14634146341463414
53,53,0.09957325746799431
54,54,0.47619047619047616
55,55,0.3047619047619048
56,56,0.15019762845849802
57,57,0.7619047619047619
58,58,0.4722222222222222
59,59,1.0
