,source,target,weight
0,0,0,0.0
1,0,1,1.0
2,0,2,0.0
3,0,3,0.0
4,0,4,0.0
5,0,5,0.0
6,0,6,0.0
7,0,7,0.0
8,0,8,0.0
9,0,9,0.0
10,0,10,0.0
11,0,11,0.0
12,0,12,0.0
13,0,13,0.0
14,0,14,0.0
15,0,15,2.0
16,0,16,18.0
17,0,17,0.0
18,0,18,0.0
19,0,19,0.0
20,0,20,2.0
21,0,21,1.0
22,0,22,1.0
23,0,23,0.0
24,0,24,0.0
25,0,25,0.0
26,0,26,0.0
27,0,27,0.0
28,0,28,0.0
29,0,29,0.0
30,0,30,0.0
31,0,31,2.0
32,0,32,0.0
33,0,33,0.0
34,0,34,0.0
35,0,35,0.0
36,0,36,0.0
37,0,37,2.0
38,0,38,0.0
39,0,39,0.0
40,0,40,0.0
41,0,41,0.0
42,0,42,0.0
43,0,43,0.0
44,0,44,2.0
45,0,45,0.0
46,0,46,0.0
47,0,47,0.0
48,0,48,0.0
49,0,49,0.0
50,0,50,0.0
51,0,51,0.0
52,0,52,0.0
53,0,53,0.0
54,0,54,0.0
55,0,55,0.0
56,0,56,0.0
57,0,57,0.0
58,0,58,0.0
59,0,59,0.0
60,1,0,1.0
61,1,1,0.0
62,1,2,1876.0
63,1,3,19.0
64,1,4,1317.0
65,1,5,60.0
66,1,6,16.0
67,1,7,4.0
68,1,8,113.0
69,1,9,0.0
70,1,10,128.0
71,1,11,37.0
72,1,12,26.0
73,1,13,34.0
74,1,14,37.0
75,1,15,181.0
76,1,16,426.0
77,1,17,87.0
78,1,18,71.0
79,1,19,3.0
80,1,20,52.0
81,1,21,5.0
82,1,22,41.0
83,1,23,82.0
84,1,24,28.0
85,1,25,12.0
86,1,26,14.0
87,1,27,1.0
88,1,28,9.0
89,1,29,88.0
90,1,30,0.0
91,1,31,85.0
92,1,32,96.0
93,1,33,0.0
94,1,34,21.0
95,1,35,11.0
96,1,36,2.0
97,1,37,23.0
98,1,38,2.0
99,1,39,21.0
100,1,40,7.0
101,1,41,0.0
102,1,42,10.0
103,1,43,0.0
104,1,44,103.0
105,1,45,1.0
106,1,46,0.0
107,1,47,0.0
108,1,48,0.0
109,1,49,0.0
110,1,50,0.0
111,1,51,0.0
112,1,52,0.0
113,1,53,0.0
114,1,54,0.0
115,1,55,0.0
116,1,56,0.0
117,1,57,1.0
118,1,58,1.0
119,1,59,0.0
120,2,0,0.0
121,2,1,1876.0
122,2,2,0.0
123,2,3,12.0
124,2,4,2859.0
125,2,5,64.0
126,2,6,0.0
127,2,7,0.0
128,2,8,184.0
129,2,9,0.0
130,2,10,135.0
131,2,11,6.0
132,2,12,22.0
133,2,13,13.0
134,2,14,7.0
135,2,15,366.0
136,2,16,107.0
137,2,17,169.0
138,2,18,222.0
139,2,19,13.0
140,2,20,45.0
141,2,21,3.0
142,2,22,42.0
143,2,23,21.0
144,2,24,6.0
145,2,25,26.0
146,2,26,0.0
147,2,27,4.0
148,2,28,9.0
149,2,29,153.0
150,2,30,1.0
151,2,31,28.0
152,2,32,46.0
153,2,33,0.0
154,2,34,57.0
155,2,35,1.0
156,2,36,1.0
157,2,37,7.0
158,2,38,0.0
159,2,39,34.0
160,2,40,2.0
161,2,41,0.0
162,2,42,30.0
163,2,43,0.0
164,2,44,82.0
165,2,45,0.0
166,2,46,0.0
167,2,47,0.0
168,2,48,0.0
169,2,49,0.0
170,2,50,0.0
171,2,51,0.0
172,2,52,1.0
173,2,53,0.0
174,2,54,8.0
175,2,55,0.0
176,2,56,0.0
177,2,57,0.0
178,2,58,0.0
179,2,59,0.0
180,3,0,0.0
181,3,1,19.0
182,3,2,12.0
183,3,3,0.0
184,3,4,6.0
185,3,5,11.0
186,3,6,0.0
187,3,7,0.0
188,3,8,30.0
189,3,9,0.0
190,3,10,12.0
191,3,11,6.0
192,3,12,3.0
193,3,13,0.0
194,3,14,1.0
195,3,15,6.0
196,3,16,43.0
197,3,17,0.0
198,3,18,1.0
199,3,19,0.0
200,3,20,12.0
201,3,21,0.0
202,3,22,3.0
203,3,23,0.0
204,3,24,5.0
205,3,25,6.0
206,3,26,0.0
207,3,27,0.0
208,3,28,0.0
209,3,29,7.0
210,3,30,0.0
211,3,31,14.0
212,3,32,8.0
213,3,33,0.0
214,3,34,6.0
215,3,35,0.0
216,3,36,0.0
217,3,37,3.0
218,3,38,0.0
219,3,39,4.0
220,3,40,0.0
221,3,41,0.0
222,3,42,2.0
223,3,43,0.0
224,3,44,12.0
225,3,45,0.0
226,3,46,0.0
227,3,47,0.0
228,3,48,0.0
229,3,49,0.0
230,3,50,0.0
231,3,51,0.0
232,3,52,0.0
233,3,53,0.0
234,3,54,0.0
235,3,55,0.0
236,3,56,0.0
237,3,57,0.0
238,3,58,0.0
239,3,59,0.0
240,4,0,0.0
241,4,1,1317.0
242,4,2,2859.0
243,4,3,6.0
244,4,4,0.0
245,4,5,37.0
246,4,6,2.0
247,4,7,0.0
248,4,8,55.0
249,4,9,0.0
250,4,10,85.0
251,4,11,8.0
252,4,12,6.0
253,4,13,1.0
254,4,14,7.0
255,4,15,535.0
256,4,16,72.0
257,4,17,319.0
258,4,18,247.0
259,4,19,21.0
260,4,20,12.0
261,4,21,16.0
262,4,22,24.0
263,4,23,7.0
264,4,24,10.0
265,4,25,2.0
266,4,26,1.0
267,4,27,7.0
268,4,28,15.0
269,4,29,40.0
270,4,30,1.0
271,4,31,7.0
272,4,32,13.0
273,4,33,0.0
274,4,34,1.0
