,node,x_pos,y_pos
0,0,-0.38159560359545647,-0.814531576698689
1,1,0.01268757672096491,0.15387036601024132
2,2,0.008780130489958241,-0.012462492980911696
3,3,-0.9665015664560805,0.17824411695569872
4,4,0.1827133271828371,-0.07774973161457774
5,5,0.13392487296708294,0.8877883468975926
6,6,0.5557357177417828,-0.8119282898126756
7,7,0.8766208294810849,0.5026561342626896
8,8,-0.5663950599110115,0.5827871308062837
9,9,0.38096581043473676,-0.883557457822256
10,10,0.1697473841367876,-0.5136816613004382
11,11,0.8730240308329363,0.007320466603859264
12,12,-0.7078743153361365,0.5479371363755094
13,13,-0.1071406649127485,0.9212018170964007
14,14,-0.8086017922601368,-0.21163358112283545
15,15,0.4005074699557286,-0.20998739622081217
16,16,0.03629147657806112,-0.20699802955199875
17,17,-0.45897159569058404,-0.9123459312377018
18,18,0.7125867899896623,0.6663101520096831
19,19,-0.5623182735337331,-0.7726646357652289
20,20,0.49042005632356667,0.4722402102388971
21,21,0.7152257026180432,0.5127617453174601
22,22,0.23103750776021686,0.4653025838046393
23,23,0.24203565424244083,0.8425248301121516
24,24,-0.8882595531959905,0.2913099563326681
25,25,0.11605182969242259,-0.9999999999999999
26,26,-0.6478863373118748,-0.6330429420689548
27,27,-0.7549240566653211,-0.6944862515700995
28,28,0.7714987481942567,-0.5224948308157044
29,29,0.8966111691248394,-0.13658338633490205
30,30,-0.8850456086673968,-0.3277183962502526
31,31,-0.0974864026717665,-0.8481031265256951
32,32,0.34906371485473925,0.9131267667061368
33,33,-0.7035057064943907,-0.43928464037406384
34,34,0.4519524868756118,-0.7696194119579374
35,35,0.4262344950809909,0.7860494951305842
36,36,-0.40161498111549637,0.7775343788951548
37,37,-0.5159020891006626,0.7905473569658433
38,38,0.6595485435938335,-0.7157865960058554
39,39,0.7848420090023464,-0.6562160588465669
40,40,-0.3467186863407764,0.867810602094982
41,41,0.8968845288622268,-0.38332059034825783
42,42,-0.888888799480471,-0.022156858037021644
43,43,-0.9244993640156817,0.0825826605599297
44,44,0.5942126270362043,0.12860811713991868
45,45,-0.9043636168504037,0.4046128059187512
46,46,-0.22753647872249505,0.895683387287401
47,47,-0.7913858998166191,-0.46957980578645253
48,48,0.5617160843348168,0.8051910474286778
49,49,-0.30528812592276194,-0.9335762997112115
50,50,-0.8099409301835313,0.4886179366747697
51,51,0.7334713740442492,0.3643341665168646
52,52,0.2533416467295754,-0.9348638522965527
53,53,0.8356477185351228,0.28014008222554015
54,54,0.9641717076987469,0.04111925385230482
55,55,0.018044181875959932,0.9456474936593429
56,56,0.886974560999588,-0.2698117538520853
57,57,-0.040680787880880816,-0.9867259959076329
58,58,-0.6156817760692277,0.7223824628218125
59,59,-0.9135636917897865,-0.15533142588441776
